Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
10.01.2020   kl. 14.30;LOV-2020-01-10-1;Endringslov til politiloven mv.;https://lovdata.no/dokument/LTI/lov/2020-01-10-1;Lov om endringer i politiloven mv. (bevæpnet patruljering mellom sårbare objekter mv.);Justis- og beredskapsdepartementet;Kongen bestemmer;LOV-1961-06-09-1, LOV-1995-08-04-53;2019-1229;
11.02.2020   kl. 13.45;FOR-2020-02-10-118;Forskrift om lokal regulering av Lofotfisket for 2020;https://lovdata.no/dokument/LTII/forskrift/2020-02-10-118;Forskrift om lokal regulering av Lofotfisket for 2020 (Lokal regulering av Lofotfisket);;01.03.2020 – 15.04.2020;;2020-0078;Nordland;LOV-2008-06-06-37-§32;
11.02.2020   kl. 13.45;FOR-2019-12-17-2231;Forskrift om feiing og tilsyn, Vindafjord;https://lovdata.no/dokument/LTII/forskrift/2019-12-17-2231;Forskrift om gebyr for gjennomføring av feiing og tilsyn i brannobjekt med fyringsanlegg, Vindafjord kommune, Rogaland;;11.02.2020;;2020-0080;Vindafjord kommune, Rogaland;LOV-2002-06-14-20-§28, FOR-2015-12-17-1710-§14, FOR-2015-12-17-1710-§15, FOR-2015-12-17-1710-§16, FOR-2015-12-17-1710-§17;
11.02.2020   kl. 13.45;FOR-2019-12-17-2230;Forskrift om gebyr for handel med fyrverkeri, Vindafjord;https://lovdata.no/dokument/LTII/forskrift/2019-12-17-2230;Forskrift om gebyr for dekning av utgifter med handsaming av søknadar om løyve til handel med fyrverkeri i klasse II, III og IV og gjennomføring av tilsyn, Vindafjord kommune, Rogaland;;11.02.2020;;2020-0079;Vindafjord kommune, Rogaland;FOR-2002-06-26-922-§9-2, LOV-2002-06-14-20;
10.02.2020   kl. 14.15;FOR-2020-01-29-114;Forskrift om salgstider for alkoholholdig drikk gruppe 1, Lillestrøm;https://lovdata.no/dokument/LTII/forskrift/2020-01-29-114;Forskrift om salgstider for alkoholholdig drikk gruppe 1, Lillestrøm kommune, Viken;;01.03.2020;FOR-2016-09-14-1082;2020-0066;Lillestrøm kommune, Viken;LOV-1989-06-02-27-§3-7;
07.02.2020   kl. 14.10;FOR-2020-02-04-110;Inntaksforskrift, Nordland;https://lovdata.no/dokument/LTII/forskrift/2020-02-04-110;Forskrift om inntak til videregående opplæring og formidling av læreplass, Nordland fylkeskommune;;07.02.2020;FOR-2018-12-06-1859;2020-0071;Nordland;FOR-2006-06-23-724-§6-2, FOR-2006-06-23-724-§6a-2, LOV-1998-07-17-61;
07.02.2020   kl. 14.10;FOR-2020-02-03-109;Forskrift om tildeling av langtidsopphold i sykehjemsavdelinger, Sandnes;https://lovdata.no/dokument/LTII/forskrift/2020-02-03-109;Forskrift om tildeling av langtidsopphold i sykehjemsavdelinger, Sandnes kommune, Rogaland;;03.02.2020;FOR-2017-06-19-876, FOR-2017-06-14-805;2020-0076;Sandnes kommune, Rogaland;LOV-2011-06-24-30-§3-2a;
06.02.2020   kl. 14.15;FOR-2020-01-30-108;Endr. i forskrift om kommunalt løypenett for snøscooter, Tydal;https://lovdata.no/dokument/LTII/forskrift/2020-01-30-108;Forskrift om endring i forskrift om kommunalt løypenett for snøscooter, Tydal kommune, Trøndelag;;30.01.2020;FOR-2018-05-08-2019;2020-0075;Tydal kommune, Trøndelag;LOV-1977-06-10-82-§4a, FOR-1988-05-15-356-§4a;
05.02.2020   kl. 13.45;FOR-2020-02-04-104;Forskrift om kontrollområde for å forebygge, begrense og bekjempe infeksiøs lakseanemi (ILA) hos akvakulturdyr, Herøy, Ulstein, Vanylven, Ørsta og Volda kommuner, Møre og Romsdal;https://lovdata.no/dokument/LTII/forskrift/2020-02-04-104;Forskrift om kontrollområde for å forebygge, begrense og bekjempe infeksiøs lakseanemi (ILA) hos akvakulturdyr, Herøy, Ulstein, Vanylven, Ørsta og Volda kommuner, Møre og Romsdal;;04.02.2020;;2020-0073;Herøy, Ulstein, Vanylven, Ørsta og Volda kommuner, Møre og Romsdal;LOV-2003-12-19-124-§19, FOR-2003-12-19-1790, FOR-2008-06-17-819-§36;
05.02.2020   kl. 13.45;FOR-2019-11-14-2228;Adresseforskrift, Hareid;https://lovdata.no/dokument/LTII/forskrift/2019-11-14-2228;Forskrift for namnsetting, adressering og adresseforvaltning, Hareid kommune, Møre og Romsdal;;14.11.2019;FOR-2006-12-14-1732;2020-0072;Hareid kommune, Møre og Romsdal;LOV-2005-06-17-101-§21, FOR-2009-06-26-864-§59, LOV-1990-05-18-11;
